iter	Passed	Remaining
0	31	31423
1	59	29747
2	87	29174
3	113	28367
4	138	27571
5	162	27002
6	186	26522
7	212	26318
8	236	26002
9	260	25785
10	284	25548
11	309	25465
12	334	25386
13	358	25276
14	384	25279
15	410	25227
16	434	25110
17	457	24962
18	482	24924
19	506	24831
20	531	24792
21	556	24732
22	581	24702
23	604	24600
24	628	24506
25	653	24471
26	677	24412
27	701	24348
28	727	24348
29	750	24279
30	774	24224
31	802	24287
32	827	24257
33	852	24210
34	876	24164
35	900	24124
36	927	24131
37	954	24154
38	981	24188
39	1008	24209
40	1052	24612
41	1103	25163
42	1138	25340
43	1168	25387
44	1193	25333
45	1218	25263
46	1243	25219
47	1269	25172
48	1297	25181
49	1328	25241
50	1360	25307
51	1390	25350
52	1420	25372
53	1448	25368
54	1476	25376
55	1504	25357
56	1531	25329
57	1558	25318
58	1583	25263
59	1614	25299
60	1640	25255
61	1667	25221
62	1691	25163
63	1719	25144
64	1745	25112
65	1772	25079
66	1797	25032
67	1823	24994
68	1850	24961
69	1874	24904
70	1899	24860
71	1924	24800
72	1949	24755
73	1972	24681
74	1998	24652
75	2024	24611
76	2049	24569
77	2074	24518
78	2098	24464
79	2122	24404
80	2147	24360
81	2170	24301
82	2196	24268
83	2223	24241
84	2249	24215
85	2275	24182
86	2301	24148
87	2328	24126
88	2354	24101
89	2380	24066
90	2403	24004
91	2427	23960
92	2453	23930
93	2479	23899
94	2506	23873
95	2530	23826
96	2554	23777
97	2579	23742
98	2606	23721
99	2632	23695
100	2656	23643
101	2682	23615
102	2706	23567
103	2730	23521
104	2753	23473
105	2777	23426
106	2802	23392
107	2826	23341
108	2852	23320
109	2879	23299
110	2905	23271
111	2930	23238
112	2955	23201
113	2983	23185
114	3007	23143
115	3032	23112
116	3059	23087
117	3081	23034
118	3104	22987
119	3129	22947
120	3153	22908
121	3177	22867
122	3201	22829
123	3226	22790
124	3249	22748
125	3275	22722
126	3300	22687
127	3325	22653
128	3349	22618
129	3373	22579
130	3397	22536
131	3423	22511
132	3449	22485
133	3475	22458
134	3500	22429
135	3527	22411
136	3553	22382
137	3576	22341
138	3602	22317
139	3627	22280
140	3650	22240
141	3676	22216
142	3702	22187
143	3727	22154
144	3751	22122
145	3778	22099
146	3801	22061
147	3827	22036
148	3853	22008
149	3877	21970
150	3902	21940
151	3929	21923
152	3954	21890
153	3979	21862
154	4003	21826
155	4026	21785
156	4052	21759
157	4077	21731
158	4101	21696
159	4126	21663
160	4150	21626
161	4176	21606
162	4201	21574
163	4226	21544
164	4249	21506
165	4275	21479
166	4298	21439
167	4323	21413
168	4347	21377
169	4371	21343
170	4398	21321
171	4421	21283
172	4447	21262
173	4472	21230
174	4497	21204
175	4523	21179
176	4546	21138
177	4571	21113
178	4602	21108
179	4628	21085
180	4654	21061
181	4677	21024
182	4702	20995
183	4727	20966
184	4750	20929
185	4777	20906
186	4803	20884
187	4830	20863
188	4854	20831
189	4881	20808
190	4905	20777
191	4928	20741
192	4951	20705
193	4978	20684
194	5003	20653
195	5029	20632
196	5053	20599
197	5078	20572
198	5103	20542
199	5127	20511
200	5154	20488
201	5180	20463
202	5206	20441
203	5232	20417
204	5258	20391
205	5282	20361
206	5307	20333
207	5334	20311
208	5359	20283
209	5382	20249
210	5406	20217
211	5431	20188
212	5458	20167
213	5484	20144
214	5511	20122
215	5536	20096
216	5561	20068
217	5585	20036
218	5609	20004
219	5635	19980
220	5659	19949
221	5683	19917
222	5710	19895
223	5735	19868
224	5761	19844
225	5787	19821
226	5813	19797
227	5839	19772
228	5865	19746
229	5890	19719
230	5915	19691
231	5939	19661
232	5966	19641
233	5992	19617
234	6017	19588
235	6041	19558
236	6068	19536
237	6092	19505
238	6117	19479
239	6142	19449
240	6168	19425
241	6194	19403
242	6219	19373
243	6243	19346
244	6270	19323
245	6296	19300
246	6322	19273
247	6349	19253
248	6373	19221
249	6398	19196
